CATEGORY,DETAIL,DESCRIPTION
=== THÔNG TIN CƠ BẢN ===,,
Tên trò chơi,DotsLink,Kết nối các điểm để dẫn năng lượng
Thể loại,Puzzle / Casual / Connect-the-dots,Game giải đố kết nối
Nền tảng,PC (Windows); Mobile (iOS; Android),Hỗ trợ đa nền tảng
Engine,Unity (C#); Shaders: ShaderLab/HLSL,Công nghệ phát triển
Tầm nhìn chính,Vẽ đường nối giữa các điểm để dẫn năng lượng/hoàn thành mục tiêu mỗi màn. Đồ họa neon/flow shader.,Ý tưởng cốt lõi
Đối tượng mục tiêu,Tuổi 8+; Người chơi thích puzzle; casual; short sessions,Người chơi tiềm năng
Phong cách nghệ thuật,Minimal + neon glow; nền tối để làm nổi các đường,Thẩm mỹ trò chơi
Cách kiếm tiền,F2P + IAP (cosmetics; remove ads) + rewarded ads (power-up),Mô hình kinh doanh
=== CORE LOOP (VÒ NƠI CỐT LÕI) ===,,
Bước 1,Quan sát bảng,Người chơi xem lưới điểm và mục tiêu của màn
Bước 2,Lập kế hoạch,Xác định các điểm cần nối / nguồn và đích
Bước 3,Vẽ đường nối,Vẽ đường nối bằng chuột/touch theo luật game
Bước 4,Kích hoạt hiệu ứng,Năng lượng/hiệu ứng chạy; kiểm tra điều kiện hoàn thành
Bước 5,Nhận phần thưởng,Nhận điểm; sao; unlock level hoặc power-up
Bước 6,Lặp lại,Chọn màn tiếp theo hoặc thử lại/tối ưu
=== CORE GAMEPLAY (TRÒ CHƠI CỐT LÕI) ===,,
Mục tiêu chiến lược,Kết nối các dot cùng màu,Người chơi phải nối các điểm theo luật; dẫn năng lượng từ source tới sink
Luật cơ bản,Đường nối chỉ giữa dot liền kề (adjacency),Không thể nối dot ở xa; phải theo lưới
Luật tiêu chí,Đường thường giữa cùng màu; không cắt nhau (trừ bridge),Một số mode cho phép khác màu; bridge dùng power-up
Tài nguyên chính,Moves (nước đi) hoặc Time (thời gian),Mỗi vẽ đường = 1 move hoặc tiêu thụ thời gian
Phần thưởng,Điểm; sao (1-3); unlock level hoặc power-up,Hoàn thành sớm/ít nước → nhiều sao
Thất bại,Hết nước/thời gian mà chưa hoàn thành mục tiêu,Offer: thử lại; xem quảng cáo; mua power-up
Combo system,Nối liên tiếp nhiều đường = combo; mỗi combo +0.1x điểm,Combo 3 → x1.3; combo 10 → x2.0
=== GAME MECHANIC (CƠ CHẾ CHI TIẾT) ===,,
Dot (Điểm),Nút trên lưới có màu/loại: source; sink; neutral; blocker,Một số dot cho phép junction hoặc tái sử dụng
Link (Đường nối),Cạnh giữa hai dot liền kề,Chỉ nối theo adjacency; thường giữa cùng màu; không cắt nhau (trừ bridge)
Energy (Năng lượng),Luồng chảy theo đường nối hoàn chỉnh,Chạy từ Source→Sink; hiệu ứng shader energy pulse
Source (Điểm nguồn),Điểm bắt đầu năng lượng,Thường màu riêng; có thể có nhiều source
Sink (Điểm đích),Điểm kết thúc năng lượng,Thường match color với source; có thể có nhiều sink
Neutral (Điểm trung lập),Điểm không cần dẫn năng lượng qua,Có thể visit để tăng score hoặc hoàn thành mục tiêu
