Section,Category,Key,Description,Details
TỔNG QUAN,Thông Tin Cơ Bản,Tên trò chơi,DotsLink,Puzzle / Flow Connector
TỔNG QUAN,Thông Tin Cơ Bản,Thể loại,Puzzle / Flow Connector,Kết nối các chấm cùng màu
TỔNG QUAN,Thông Tin Cơ Bản,Đối tượng người chơi,Casual players & Puzzle enthusiasts,Mọi độ tuổi
TỔNG QUAN,Mô Tả Gameplay,Mục tiêu cơ bản,Kết nối tất cả cặp điểm cùng màu bằng đường liên tục,Không cho phép đường giao nhau
TỔNG QUAN,Mô Tả Gameplay,Ràng buộc chính,Các đường không được giao nhau,Nếu overlap → đường bị loại
TỔNG QUAN,Mô Tả Gameplay,Điều kiện thắng,Kết nối hoàn tất + thỏa tất cả điều kiện → THẮNG,Hiển thị "YOU WIN!"
BOARD,Kích Thước Lưới,Stage 1,4×4,50 levels - ⭐ Beginner - 1-2 phút
BOARD,Kích Thước Lưới,Stage 2,5×5,50 levels - ⭐⭐ Easy - 2-3 phút
BOARD,Kích Thước Lưới,Stage 3,6×6,50 levels - ⭐⭐ Easy–Medium - 3-4 phút
BOARD,Kích Thước Lưới,Stage 4,7×7,50 levels - ⭐⭐⭐ Medium - 4-5 phút
BOARD,Kích Thước Lưới,Stage 5,8×8,50 levels - ⭐⭐⭐ Medium–Hard - 5-7 phút
BOARD,Kích Thước Lưới,Stage 6,9×9,50 levels - ⭐⭐⭐⭐ Hard - 7-10 phút
BOARD,Kích Thước Lưới,Stage 7,10×10,50 levels - ⭐⭐⭐⭐⭐ Very Hard - 10-15 phút
BOARD,Cấu Hình,Tổng Level,350 levels,7 stages × 50 levels/stage
BOARD,Cấu Hình,Camera Type,Orthographic,Size = gridSize + 2
BOARD,Cấu Hình,Camera Position,(gridSize/2 gridSize/2 -10),Căn chỉnh bảng vào giữa màn hình
BOARD,Cấu Hình,Board Display Size,(gridSize + 0.08 gridSize + 0.08),Mỗi ô = 1×1 unit
BOARD,Hệ Thống Màu,NodeColors,List<Color> trong GameplayManager,Định nghĩa tất cả màu sử dụng
BOARD,Hệ Thống Màu,Công Thức Tính Màu,ActualColor = NodeColors[colorId % NodeColors.Count],Gán màu thực cho node
BOARD,Hệ Thống Màu,Highlight Alpha,0.4f (40%),Độ trong suốt của vùng highlight
NODE,Định Nghĩa,Thuộc Tính,colorId (int) - ID nhóm màu,Xác định màu node
NODE,Định Nghĩa,Thuộc Tính,position (Vector2Int) - Tọa độ lưới,Vị trí node trên board
NODE,Định Nghĩa,Thuộc Tính,connectedEdges (Dictionary) - Các cạnh liên kết,Danh sách các đường kết nối
NODE,Định Nghĩa,Thuộc Tính,connectedNodes (List<Node>) - Node đã kết nối,Các node trong cùng đường
NODE,Định Nghĩa,Thuộc Tính,IsEndNode (bool) - Là nút đầu/cuối,True = End Node False = Intermediate
NODE,Định Nghĩa,Thuộc Tính,IsClickable (bool) - Có thể nhấn,End Node hoặc có kết nối → clickable
NODE,Loại Node,End Node,IsEndNode=True IsClickable=True,Hai đầu mút của một cặp - cần đúng 1 kết nối
NODE,Loại Node,Intermediate Node,IsEndNode=False IsClickable=Phụ thuộc,Điểm trung gian - cần đúng 2 kết nối
NODE,Loại Node,Empty Node,IsEndNode=False IsClickable=False,Vị trí trống trên lưới - không hiển thị
EDGE,Định Nghĩa,edgeId,ID = colorId,Xác định đường theo màu
EDGE,Định Nghĩa,points,List<Vector2Int>,Tất cả ô mà đường đi qua
EDGE,Định Nghĩa,startPoint,points[0],Điểm bắt đầu của đường
EDGE,Định Nghĩa,endPoint,points[last],Điểm kết thúc của đường
EDGE,Định Nghĩa,color,NodeColors[colorId],Màu hiển thị của đường
EDGE,Tính Chất,Hướng Hiển Thị,4 hướng: Up Down Left Right,Sprite định hướng cho mỗi ô
EDGE,Tính Chất,Max Connections Per Node,Tối đa 2 cạnh (End Node chỉ có 1),Ngăn chặn độ bậc > 2
EDGE,Tính Chất,Overlap Rule,Không phép 2 đường cùng ô,Nếu chồng → đường bị loại
EDGE,Tính Chất,Min Length,≥ 3 ô,start + middle + end
WIN_CONDITION,Điều Kiện Thắng,Điều Kiện 1,Mỗi cặp điểm cùng màu đều kết nối,End Node của mỗi màu phải có 1 đường
WIN_CONDITION,Điều Kiện Thắng,Điều Kiện 2,Mỗi End Node có đúng 1 kết nối,Không có End Node thừa
WIN_CONDITION,Điều Kiện Thắng,Điều Kiện 3,Mỗi Intermediate Node có đúng 2 kết nối,Không có node nằm một mình
WIN_CONDITION,Điều Kiện Thắng,Điều Kiện 4,Không có 2 đường giao nhau,Không overlap
WIN_CONDITION,Điều Kiện Thắng,Kết Quả,Tất cả điều kiện TRUE → WIN,Hiển thị YOU WIN! Unlock level tiếp theo
WIN_CONDITION,Điều Kiện Thua,Điều Kiện Thua,Không có điều kiện thua,Người chơi thử lại vô hạn
INPUT,Luồng Nhập Chuột,MouseButtonDown,Reset startNode,Xóa lựa chọn trước đó
INPUT,Luồng Nhập Chuột,MouseButton Hold (Chưa có start),Raycast tìm node bên dưới chuột,Nếu hợp lệ → set startNode
INPUT,Luồng Nhập Chuột,MouseButton Hold (Có start),Update highlight theo chuột,Raycast tìm neighbor node
INPUT,Luồng Nhập Chuột,MouseButton Hold (Connect),Kiểm tra điều kiện kết nối,Attempt connect nếu hợp lệ
INPUT,Luồng Nhập Chuột,MouseButtonUp,Deselect & ẩn highlight,Reset về trạng thái ban đầu
INPUT,Điều Kiện Clickable,End Node,IsEndNode = True,Luôn có thể nhấn
INPUT,Điều Kiện Clickable,Intermediate Node,connectedNodes.Count > 0,Chỉ clickable nếu đã có kết nối
INPUT,Mobile Support,Touch Input,Map touch → raycast tương tự mouse,Hoạt động giống mouse input
CONNECTION_LOGIC,Bước 1,Chọn Node,Raycast từ chuột tìm End Node hoặc Intermediate có kết nối,Nếu tìm thấy & hợp lệ → set startNode
CONNECTION_LOGIC,Bước 2,Di Chuyển,Cập nhật vị trí highlight theo chuột (real-time),Raycast tìm neighbor gần nhất
CONNECTION_LOGIC,Bước 3,Neighbor Check,Neighbor có trong connectedEdges[startNode]?,Nếu NO → không kết nối
CONNECTION_LOGIC,Bước 4,Color Check,startNode.colorId == neighbor.colorId?,Nếu YES (cùng màu) → tiếp tục / Nếu NO → dừng sau 1 ô
CONNECTION_LOGIC,Bước 5,Degree Check,neighbor.connectedNodes.Count >= 2?,Nếu YES → Toggle remove / Nếu NO → tiếp tục
CONNECTION_LOGIC,Bước 6,End Node Overflow,Nếu neighbor là End Node & đã có 1 kết nối,Remove kết nối cũ → Thêm kết nối mới từ startNode
CONNECTION_LOGIC,Bước 7,Degree-3 Prevention,Phát hiện node sắp có 3 cạnh?,Xóa 2 kết nối cũ nhất → Giữ kết nối mới
CONNECTION_LOGIC,Bước 8,Auto-removal,Intermediate Node có < 2 kết nối?,Cascade delete từ node → End Node
